No,Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Di mana bisnis Anda berada?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Dalam mencari solusi apakah Anda lebih memilih untuk:,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Masalah komunikasi,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Kualitas pekerjaan,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Memenuhi tenggat waktu,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Biaya,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Mencari keterampilan yang tepat,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Desain logo,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Pengembangan website,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Strategi pemasaran,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Manajemen media sosial,Seberapa puas Anda dengan nilai yang diberikan oleh layanan freelancer (penyedia jasa) untuk uang yang Anda keluarkan?,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak sumber daya tutorial,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Dukungan pelanggan yang lebih baik,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak opsi freelancer,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Opsi harga yang fleksibel,Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Ulasan & Penilaian],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Kualitas Portofolio],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Harga],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Komunikasi],Bagaimana cara Anda dalam menyelesaikan masalah?,Seberapa mampu Anda membeli layanan freelancer (penyedia jasa) berdasarkan anggaran Anda saat ini?,Seberapa tertarik Anda menggunakan freelancer (penyedia jasa) untuk proyek Anda di masa depan?,Bagaimana Anda pertama kali mendengar tentang layanan freelancer (penyedia jasa)?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Seberapa besar kemungkinan Anda merekomendasikan layanan freelancer (penyedia jasa) kepada teman dan keluarga Anda?,Apakah ada saran dan masukan untuk Sribu (Sribu.com)?,Platform freelancer,Platform freelancer1
95,25-30 tahun,Middle,Jawa Timur,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,,,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,,,10,,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Pencarian online,Project.co.id,10,Untuk terhubung diperlukan koneksi yg stabil dan tidak lag itu saja,Other,0
96,36-40 tahun,Upper,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,Masalah komunikasi,,,,,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,,,10,Lebih banyak sumber daya tutorial,,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Iklan,Fiverr,10,Kembangkan kualitas,Other,0
97,36-40 tahun,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,,,,Mencari keterampilan yang tepat,Triwulanan,Pengembangan website,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Pencarian online,Sribu,10,Lbh banyak tenaga profesional,Sribu,1
98,41-45 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,20-Nov,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Jaminan kualitas pekerjaan,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,5,Media sosial,Fiverr,8,Tidak,Other,0
99,25-30 tahun,Upper,Riau,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Pekanbaru,Rp15.000.000 - Rp75.000.000,Ya,Ya,10-Jun,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Triwulanan,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,4,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Iklan,Project.co.id,10,Lebih ditingkatkan lagi performanya,Other,0
100,31-35 tahun,Middle,Jawa Timur,Perempuan,Tidak bekerja,Tidak,E-commerce,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,7,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,7,Media sosial,Project.co.id,7,Cukup inovatif creatif dan menarik untuk saran sudah cukup bagus,Other,0
101,36-40 tahun,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Bandung,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Kebutuhan tenaga yang mendesak,,,Strategi pemasaran,,10,,Dukungan pelanggan yang lebih baik,,,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,6,Iklan,Fastwork,6,Saat ini belum ada saran atau masukan,Other,0
102,41-45 tahun,Upper,Sumatera Utara,Laki-Laki,Mahasiswa/pelajar,Ya,Manufaktur,Kurang dari Rp750 juta,Medan,Rp75.000.000 - Rp150.000.000,Ya,Ya,21-50,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Triwulanan,Manajemen media sosial,NA,NA,,Pengembangan website,Strategi pemasaran,,8,,,Lebih banyak opsi freelancer,,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,8,Pencarian online,Upwork,10,Lebih baik lagi,Other,0
103,36-40 tahun,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Mingguan,Desain logo,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Teman atau kolega,Sribu,10,Tidak ada,Sribu,1
104,25-30 tahun,Upper,Jawa Tengah,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Surakarta,Rp7.500.000 - Rp15.000.000,Ya,Ya,51-100,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Iklan,Sribu,8,"sudah bagus ya menurut saya pribadi ,keren",Sribu,1
105,25-30 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,8,,,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Pencarian online,Fiverr,10,Tampilan yang lebih user friendly,Other,0
106,31-35 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Apabila dirasa sudah membutuhkan,,,Strategi pemasaran,Manajemen media sosial,5,,Dukungan pelanggan yang lebih baik,,,4,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,2,5,Media sosial,Tidak ada,5,Untuk dapat disaring kembali bagian pengguna jasa untuk meminimalisir adanya scam,Tidak ada,0
107,25-30 tahun,Middle,DKI Jakarta,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,,4,5,3,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,7,Media sosial,Project.co.id,8,Tidak ada,Other,0
108,31-35 tahun,Upper,Banten,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Tahunan,Pengembangan website,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Media sosial,Project.co.id,8,Bagus,Other,0
109,36-40 tahun,Upper,Banten,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,,,,Biaya,,Harian,Manajemen media sosial,NA,NA,,Pengembangan website,,,10,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Media sosial,Fastwork,10,smg mnjadi lbh baik,Other,0
110,25-30 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Mencari sendiri,,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Mingguan,Pengembangan website,NA,NA,,,Strategi pemasaran,,8,,,Lebih banyak opsi freelancer,,4,4,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,7,Pencarian online,Project.co.id,8,"Cukup membantu, hanya saja biar masih terbatas",Other,0
111,41-45 tahun,Upper,Kalimantan Selatan,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Rp7.500.000 - Rp15.000.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,,,,Biaya,Mencari keterampilan yang tepat,Tidak menentu,Manajemen media sosial,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,7,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,10,Teman atau kolega,Project.co.id,10,tidak ada karena saya belum pernah menggunakan nya,Other,0
112,25-30 tahun,Middle,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Banjarmasin,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,,Biaya,,Tidak menentu,Desain logo,NA,NA,,,Strategi pemasaran,,7,,,,Opsi harga yang fleksibel,5,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Media sosial,Project.co.id,7,Lebih fleksibel dan harga yang lebih bersahabat,Other,0
113,31-35 tahun,Upper,Banten,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Jabodetabek,Rp15.000.000 - Rp75.000.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,6,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,10,Media sosial,Project.co.id,7,Lebih menarik lagi ketika promosi,Other,0
114,36-40 tahun,Middle,Jawa Tengah,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Tegal,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,,,,,Mencari keterampilan yang tepat,Mingguan,Penulisan konten,NA,NA,,,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,8,Teman atau kolega,Fiverr,8,Serius dan tetap fokus dalam berkerja,Other,0
115,25-30 tahun,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Media sosial,Sribu,9,Lebih banyak opsi freelancer,Sribu,1
116,25-30 tahun,Middle,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Ya,Tidak,21-50,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,,,Bulanan,Pengembangan website,NA,NA,,Pengembangan website,,,10,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Pencarian online,Project.co.id,10,Daftar,Other,0
117,36-40 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Mingguan,Layanan SEO,NA,NA,Desain logo,Pengembangan website,,Manajemen media sosial,8,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Sribu,8,Saran agar mengadakan pameran freelancer lebih di kenal lagi,Sribu,1
118,31-35 tahun,Upper,Sulawesi Tengah,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,Masalah komunikasi,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Desain logo,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,7,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,9,Media sosial,Sribu,9,semakin mudah dalam pengaplikasiannya,Sribu,1
119,31-35 tahun,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,2,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,10,Media sosial,Sribu,10,Lebih baik lagi dalam pelayanan nya,Sribu,1
120,31-35 tahun,Middle,Sulawesi Tengah,Perempuan,Pemilik usaha/Wiraswasta,Ya,Kuliner,Kurang dari Rp750 juta,Palu,Kurang dari Rp7.500.000,Ya,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak yakin bagaimana mengelola freelancer,Informasi lebih lanjut tentang manfaat menggunakan freelancer,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Sribu,8,Semoga lebih dikembangkan lagi supaya lebih banyak tawaran tersedia,Sribu,1
121,36-40 tahun,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Kuliner,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Biaya terlalu tinggi,Informasi lebih lanjut tentang manfaat menggunakan freelancer,,,Strategi pemasaran,,5,,,,Opsi harga yang fleksibel,4,4,3,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,7,Media sosial,Project.co.id,5,Belum ada saran,Other,0
122,31-35 tahun,Middle,DI Yogyakarta,Perempuan,Pemilik usaha/Wiraswasta,Ya,Non-profit,Kurang dari Rp750 juta,Jawa tengah,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak yakin bagaimana mengelola freelancer,Jaminan kualitas pekerjaan,,,Strategi pemasaran,,7,,Dukungan pelanggan yang lebih baik,,,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,4,4,Media sosial,Project.co.id,3,Tingkatkan kualitas pelayanan agar lebih baik lagi dalam penyedia jasanya,Other,0
123,36-40 tahun,Upper,Banten,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,10-Jun,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,,Bulanan,Penulisan konten,NA,NA,,,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Media sosial,Project.co.id,10,Sudah lebih baik,Other,0
124,36-40 tahun,Upper,DI Yogyakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Tidak,Ya,Lebih dari 100,Ya,Diberi rekomendasi,Masalah komunikasi,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,,4,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,9,Media sosial,Upwork,9,Lebih banyak portofolio dengan fee yang bisa dinego,Other,0
125,31-35 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Bandung,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,Pengembangan website,,Manajemen media sosial,10,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Media sosial,Sribu,10,Meningkatkan inovasi yang lebih baik lagi,Sribu,1
126,41-45 tahun,Upper,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Jaminan kualitas pekerjaan,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,5,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,8,Media sosial,Upwork,8,Iklan untuk membantu penjualan,Other,0
127,36-40 tahun,Middle,Jawa Tengah,Perempuan,Tenaga lepas (freelancer),Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Pemalang,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,7,,,,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,8,Teman atau kolega,Fiverr,8,Semangat dalam berkerja,Other,0
128,36-40 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja paruh waktu,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Sribu,10,Lebih ditingkatkan lagi promosinya agar orang banyak menggunakannya,Sribu,1
129,41-45 tahun,Middle,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,Masalah komunikasi,,,,Mencari keterampilan yang tepat,Mingguan,Layanan SEO,NA,NA,,Pengembangan website,,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Sribu,8,Saran agar mengadakan pameran Freelancer agar lebih di kenal,Sribu,1
130,36-40 tahun,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,10,Media sosial,Fastwork,9,Tidak ada,Other,0
131,31-35 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Jaminan kualitas pekerjaan,,,Strategi pemasaran,,8,Lebih banyak sumber daya tutorial,,,,4,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,9,Media sosial,Fastwork,9,Pencarian sesuai bidang dan filter portfolio terbaik,Other,0
132,31-35 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Tidak menentu,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,9,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Upwork,10,"membuat tampilan website atau interfacenya terlihat lebih menarik lagi sehingga terlihat lebih profesional, dan menyaring freelancer secara selektif",Other,0
